соціальна,соціальний,"adj:f:v_kly:compb
adj:f:v_naz:compb"
та,"та

той","conj:coord
part
adj:f:v_naz:&pron:dem"
екологічна,екологічний,"adj:f:v_kly:compb
adj:f:v_naz:compb"
Які,який,"adj:p:v_naz:&pron:int:rel:def
adj:p:v_zna:rinanim:&pron:int:rel:def"
ж,ж,"conj:coord
part"
ці,цей,"adj:p:v_naz:&pron:dem
adj:p:v_zna:rinanim:&pron:dem"
цілі,"ціль



цілий","noun:inanim:f:v_dav
noun:inanim:f:v_rod
noun:inanim:p:v_naz
noun:inanim:p:v_zna
adj:p:v_kly:compb
adj:p:v_naz:compb
adj:p:v_zna:rinanim:compb"
Ні,ні,part
Бідність,бідність,"noun:inanim:f:v_naz
noun:inanim:f:v_zna"
Ні,ні,part
голоду,голод,"noun:inanim:m:v_dav
noun:inanim:m:v_rod"
Голод,"Голод
голод","noun:anim:m:v_naz:prop:lname
noun:inanim:m:v_naz
noun:inanim:m:v_zna"
–,-,-
Ні,ні,part
Здоровий,здоровий,"adj:m:v_kly:compb
adj:m:v_naz:compb
adj:m:v_zna:rinanim:compb
noun:anim:m:v_kly
noun:anim:m:v_naz"
спосіб,спосіб,"noun:inanim:m:v_naz
noun:inanim:m:v_zna"
життя,життя,"noun:inanim:n:v_naz
noun:inanim:n:v_rod
noun:inanim:n:v_zna
noun:inanim:p:v_naz
noun:inanim:p:v_zna"
та,та,"conj:coord
part"
добробут,добробут,"noun:inanim:m:v_naz
noun:inanim:m:v_zna"
Якісна,якісний,"adj:f:v_kly:compb
adj:f:v_naz:compb"
освіта,освіта,noun:inanim:f:v_naz
Ґендерна,ґендерний,"adj:f:v_kly:alt
adj:f:v_naz:alt"
рівність,рівність,"noun:inanim:f:v_naz
noun:inanim:f:v_zna"
Чиста,чистий,"adj:f:v_kly:compb
adj:f:v_naz:compb"
вода,вода,noun:inanim:f:v_naz
та,"та

той","conj:coord
part
adj:f:v_naz:&pron:dem"
санітарія,санітарія,noun:inanim:f:v_naz
Чиста,чистий,"adj:f:v_kly:compb
adj:f:v_naz:compb"
недорога,недорогий,"adj:f:v_kly
adj:f:v_naz"
енергія,енергія,noun:inanim:f:v_naz
Гідна,гідний,"adj:f:v_kly:compb
adj:f:v_naz:compb"
праця,праця,noun:inanim:f:v_naz
",",-,-
економічне,економічний,"adj:n:v_kly
adj:n:v_naz
adj:n:v_zna"
зростання,зростання,"noun:inanim:n:v_naz
noun:inanim:n:v_rod
noun:inanim:n:v_zna
noun:inanim:p:v_naz
noun:inanim:p:v_zna"
Промисловість,промисловість,"noun:inanim:f:v_naz
noun:inanim:f:v_zna"
Інновації,інновація,"noun:inanim:f:v_dav
noun:inanim:f:v_rod
noun:inanim:p:v_naz
noun:inanim:p:v_zna"
нфраструктура,інфраструктура,noun:inanim:f:v_naz
Ні,ні,part
нерівноправності,нерівноправність,"noun:inanim:f:v_dav
noun:inanim:f:v_rod
noun:inanim:p:v_naz
noun:inanim:p:v_zna"
Нерівноправність,нерівноправність,"noun:inanim:f:v_naz
noun:inanim:f:v_zna"
Ні,ні,part
Розвиток,розвиток,"noun:inanim:m:v_naz
noun:inanim:m:v_zna"
міста,місто,"noun:inanim:n:v_rod
noun:inanim:p:v_naz
noun:inanim:p:v_zna"
і,і,"conj:coord
part"
громади,громада,"noun:inanim:f:v_rod
noun:inanim:p:v_naz
noun:inanim:p:v_zna"
Відповідальне,відповідальний,"adj:n:v_kly:compb
adj:n:v_naz:compb
adj:n:v_zna:compb"
споживання,споживання,"noun:inanim:n:v_naz
noun:inanim:n:v_rod
noun:inanim:n:v_zna
noun:inanim:p:v_naz
noun:inanim:p:v_zna"
та,та,"conj:coord
part"
виробництво,виробництво,"noun:inanim:n:v_naz
noun:inanim:n:v_zna"
Захист,захист,"noun:inanim:m:v_naz
noun:inanim:m:v_zna"
клімату,клімат,"noun:inanim:m:v_dav
noun:inanim:m:v_rod"
Захист,захист,"noun:inanim:m:v_naz
noun:inanim:m:v_zna"
води,вода,"noun:inanim:f:v_rod
noun:inanim:p:v_naz
noun:inanim:p:v_zna"
Захист,захист,"noun:inanim:m:v_naz
noun:inanim:m:v_zna"
землі,земля,"noun:inanim:f:v_dav
noun:inanim:f:v_rod
noun:inanim:p:v_naz
noun:inanim:p:v_zna"
Мир,мир,"noun:inanim:m:v_naz
noun:inanim:m:v_zna"
Справедливість,справедливість,"noun:inanim:f:v_naz
noun:inanim:f:v_zna"
Партнерство,партнерство,"noun:inanim:n:v_naz
noun:inanim:n:v_zna"
Глобальні,глобальний,"adj:p:v_kly:compb
adj:p:v_naz:compb
adj:p:v_zna:rinanim:compb"
цілі,"ціль



цілий","noun:inanim:f:v_dav
noun:inanim:f:v_rod
noun:inanim:p:v_naz
noun:inanim:p:v_zna
adj:p:v_kly:compb
adj:p:v_naz:compb
adj:p:v_zna:rinanim:compb"
–,-,-
інклюзивні,інклюзивний,"adj:p:v_kly
adj:p:v_naz
adj:p:v_zna:rinanim"
та,та,"conj:coord
part"
взаємопов'язані,взаємопов'язаний,"adj:p:v_kly:&adjp:pasv:perf
adj:p:v_naz:&adjp:pasv:perf
adj:p:v_zna:rinanim:&adjp:pasv:perf"
Отже,отже,"conj:subord:&insert
part"
",",-,-
планета,планета,noun:inanim:f:v_naz
...,-,-
люди,людина,"noun:anim:p:v_kly
noun:anim:p:v_naz"
...,-,-
добробут,добробут,"noun:inanim:m:v_naz
noun:inanim:m:v_zna"
...,-,-
співпраця,співпраця,noun:inanim:f:v_naz
...,-,-
мир,мир,"noun:inanim:m:v_naz
noun:inanim:m:v_zna"
Що,що,"conj:subord
noun:inanim:n:v_naz:&pron:int:rel
noun:inanim:n:v_zna:&pron:int:rel"
можемо,могти,verb:imperf:pres:p:1
робити,робити,verb:imperf:inf
ми,ми,noun:anim:p:v_naz:&pron:pers:1
Не,не,part
смітити,смітити,verb:imperf:inf
Вимикати,вимикати,verb:imperf:inf
світло,світло,"adv:compb
noun:inanim:n:v_naz
noun:inanim:n:v_zna"
Не,не,part
мовчати,мовчати,verb:imperf:inf
про,про,prep
дискримінацію,дискримінація,noun:inanim:f:v_zna
Менше,менший,"adj:n:v_kly:compc
adj:n:v_naz:compc
adj:n:v_zna:compc"
їздити,їздити,verb:imperf:inf
на,на,prep
машині,машина,"noun:inanim:f:v_dav
noun:inanim:f:v_mis"
Наша,наш,"adj:f:v_kly:&pron:pos
adj:f:v_naz:&pron:pos"
планета,планета,noun:inanim:f:v_naz
–,-,-
наш,наш,"adj:m:v_kly:&pron:pos
adj:m:v_naz:&pron:pos
adj:m:v_zna:rinanim:&pron:pos"
світ,світ,"noun:inanim:m:v_naz
noun:inanim:m:v_zna"
Сталий,сталий,"adj:m:v_kly
adj:m:v_naz
adj:m:v_zna:rinanim"
розвиток,розвиток,"noun:inanim:m:v_naz
noun:inanim:m:v_zna"
Глобальні,глобальний,"adj:p:v_kly:compb
adj:p:v_naz:compb
adj:p:v_zna:rinanim:compb"
цілі,ціль,"noun:inanim:f:v_dav
noun:inanim:f:v_rod
noun:inanim:p:v_naz
noun:inanim:p:v_zna
adj:p:v_kly:compb
adj:p:v_naz:compb
adj:p:v_zna:rinanim:compb"
Захист,захист,"noun:inanim:m:v_naz
noun:inanim:m:v_zna"
клімату,клімат,"noun:inanim:m:v_dav
noun:inanim:m:v_rod"
Чому,що,noun:inanim:n:v_dav:&pron:int:rel
клімат,клімат,"noun:inanim:m:v_naz
noun:inanim:m:v_zna"
важливий,важливий,"adj:m:v_kly:compb
adj:m:v_naz:compb
adj:m:v_zna:rinanim:compb"
Клімат,клімат,"noun:inanim:m:v_naz
noun:inanim:m:v_zna"
-,-,-
це,це,noun:inanim:n:v_naz:&pron:dem
багаторічний,багаторічний,"adj:m:v_kly
adj:m:v_naz
adj:m:v_zna:rinanim"
режим,режим,"noun:inanim:m:v_naz
noun:inanim:m:v_zna"
погоди,погода,"noun:inanim:f:v_rod
noun:inanim:p:v_naz
noun:inanim:p:v_zna"
Кліматична,кліматичний,"adj:f:v_kly
adj:f:v_naz"
система,система,noun:inanim:f:v_naz
:,-,-
атмосфера,атмосфера,noun:inanim:f:v_naz
(,-,-
повітря,повітря,"noun:inanim:n:v_naz
noun:inanim:n:v_rod
noun:inanim:n:v_zna"
),-,-
",",-,-
гідросфера,гідросфера,noun:inanim:f:v_naz
(,-,-
вода,вода,noun:inanim:f:v_naz
),-,-
",",-,-
кріосфера,кріосфера,noun:inanim:f:v_naz
(,-,-
лід,лід,"noun:inanim:m:v_naz
noun:inanim:m:v_zna"
і,і,"conj:coord
part"
сніг,сніг,"noun:inanim:m:v_naz
noun:inanim:m:v_zna"
),-,-
",",-,-
літосфера,літосфера,noun:inanim:f:v_naz
(,-,-
рельєф,рельєф,"noun:inanim:m:v_naz
noun:inanim:m:v_zna"
",",-,-
гірські,гірський,"adj:p:v_kly
adj:p:v_naz
adj:p:v_zna:rinanim"
породи,порода,"noun:inanim:f:v_rod
noun:inanim:p:v_naz
noun:inanim:p:v_zna"
),-,-
",",-,-
біосфера,біосфера,noun:inanim:f:v_naz
(,-,-
живі,живий,"adj:p:v_kly:compb
adj:p:v_naz:compb
adj:p:v_zna:rinanim:compb"
організми,організм,"noun:inanim:p:v_naz
noun:inanim:p:v_zna"
),-,-
Важливі,важливий,"adj:p:v_kly:compb
adj:p:v_naz:compb
adj:p:v_zna:rinanim:compb"
кліматичні,кліматичний,"adj:p:v_kly
adj:p:v_naz
adj:p:v_zna:rinanim"
чинники,чинник,"noun:inanim:p:v_naz
noun:inanim:p:v_zna"
:,-,-
температура,температура,noun:inanim:f:v_naz
",",-,-
опади,опади,"noun:inanim:p:v_naz:ns
noun:inanim:p:v_zna:ns"
",",-,-
вологість,вологість,"noun:inanim:f:v_naz
noun:inanim:f:v_zna"
повітря,повітря,"noun:inanim:n:v_naz
noun:inanim:n:v_rod
noun:inanim:n:v_zna"
",",-,-
ґрунти,ґрунт,"noun:inanim:p:v_naz
noun:inanim:p:v_zna"
",",-,-
льодовики,льодовик,"noun:inanim:p:v_naz
noun:inanim:p:v_zna"
",",-,-
рівень,рівень,"noun:inanim:m:v_naz
noun:inanim:m:v_zna"
моря,море,"noun:inanim:n:v_rod
noun:inanim:p:v_naz
noun:inanim:p:v_zna"
Всі,"всі
весь","noun:anim:p:v_naz:&pron:gen
adj:p:v_naz:&pron:gen
adj:p:v_zna:rinanim:&pron:gen"
ці,цей,"adj:p:v_naz:&pron:dem
adj:p:v_zna:rinanim:&pron:dem"
чинники,чинник,"noun:inanim:p:v_naz
noun:inanim:p:v_zna"
взаємопов'язані,взаємопов'язаний,"adj:p:v_kly:&adjp:pasv:perf
adj:p:v_naz:&adjp:pasv:perf
adj:p:v_zna:rinanim:&adjp:pasv:perf"
Зміни,зміна,"noun:inanim:f:v_rod
noun:inanim:p:v_naz
noun:inanim:p:v_zna"
одного,один,"numr:m:v_rod
numr:m:v_zna:ranim
numr:n:v_rod"
чинника,чинник,noun:inanim:m:v_rod
впливають,впливати,verb:imperf:pres:p:3
на,на,prep
зміни,зміна,"noun:inanim:f:v_rod
noun:inanim:p:v_naz
noun:inanim:p:v_zna"
інших,"інший


інші","adj:p:v_mis:&pron:def
adj:p:v_rod:&pron:def
adj:p:v_zna:ranim:&pron:def
noun:anim:p:v_mis:ns:&pron:def
noun:anim:p:v_rod:ns:&pron:def
noun:anim:p:v_zna:ns:&pron:def"
Поступова,поступовий,"adj:f:v_kly:compb
adj:f:v_naz:compb"
зміна,зміна,noun:inanim:f:v_naz
клімату,клімат,"noun:inanim:m:v_dav
noun:inanim:m:v_rod"
є,бути,"verb:imperf:pres:p:1
verb:imperf:pres:p:2
verb:imperf:pres:p:3
verb:imperf:pres:s:1
verb:imperf:pres:s:2
verb:imperf:pres:s:3"
природньою,природній,adj:f:v_oru:bad
Яка,який,adj:f:v_naz:&pron:int:rel:def
ж,ж,"conj:coord
part"
загроза,загроза,noun:inanim:f:v_naz
Швидка,"Швидка
швидка
швидкий","noun:anim:f:v_naz:prop:lname
noun:inanim:f:v_naz
adj:f:v_kly:compb
adj:f:v_naz:compb"
зміна,зміна,noun:inanim:f:v_naz
клімату,клімат,"noun:inanim:m:v_dav
noun:inanim:m:v_rod"
дуже,дуже,adv:compb
небезпечна,небезпечний,"adj:f:v_kly:compb
adj:f:v_naz:compb"
і,і,"conj:coord
part"
погіршує,погіршувати,verb:imperf:pres:s:3
умови,умова,"noun:inanim:f:v_rod
noun:inanim:p:v_naz
noun:inanim:p:v_zna"
життя,життя,"noun:inanim:n:v_naz
noun:inanim:n:v_rod
noun:inanim:n:v_zna
noun:inanim:p:v_naz
noun:inanim:p:v_zna"
на,на,prep
планеті,планета,"noun:inanim:f:v_dav
noun:inanim:f:v_mis"
Людська,людський,"adj:f:v_kly
adj:f:v_naz"
діяльність,діяльність,"noun:inanim:f:v_naz
noun:inanim:f:v_zna"
значно,значно,adv:compb
впливає,впливати,verb:imperf:pres:s:3
на,на,prep
такі,такий,"adj:p:v_naz:&pron:dem
adj:p:v_zna:rinanim:&pron:dem"
швидкі,"швидка

швидкий","noun:inanim:p:v_naz
noun:inanim:p:v_zna
adj:p:v_kly:compb
adj:p:v_naz:compb
adj:p:v_zna:rinanim:compb"
зміни,зміна,"noun:inanim:f:v_rod
noun:inanim:p:v_naz
noun:inanim:p:v_zna"
:,-,-
Забрудення,-,-
та,та,"conj:coord
part"
викиди,викид,"noun:inanim:p:v_naz
noun:inanim:p:v_zna"
газів,газ,noun:inanim:p:v_rod
в,в,prep
атмосферу,атмосфера,noun:inanim:f:v_zna
ведуть,вести,verb:imperf:pres:p:3
до,до,prep
глобального,глобальний,"adj:m:v_rod:compb
adj:m:v_zna:ranim:compb
adj:n:v_rod:compb"
потепління,потепління,"noun:inanim:n:v_naz
noun:inanim:n:v_rod
noun:inanim:n:v_zna
noun:inanim:p:v_naz
noun:inanim:p:v_zna"
Глобальне,глобальний,"adj:n:v_kly:compb
adj:n:v_naz:compb
adj:n:v_zna:compb"
потепління,потепління,"noun:inanim:n:v_naz
noun:inanim:n:v_rod
noun:inanim:n:v_zna
noun:inanim:p:v_naz
noun:inanim:p:v_zna"
,-,-
Наслідки,наслідок,"noun:inanim:p:v_naz
noun:inanim:p:v_zna"
:,-,-
Екстремальна,екстремальний,"adj:f:v_kly:compb
adj:f:v_naz:compb"
погода,погода,noun:inanim:f:v_naz
:,-,-
бурі,"буря



бура
бурий","noun:inanim:f:v_dav
noun:inanim:f:v_rod
noun:inanim:p:v_naz
noun:inanim:p:v_zna
noun:inanim:f:v_dav
adj:p:v_kly
adj:p:v_naz
adj:p:v_zna:rinanim"
",",-,-
урагани,ураган,"noun:inanim:p:v_naz
noun:inanim:p:v_zna"
",",-,-
повені,повінь,"noun:inanim:f:v_dav
noun:inanim:f:v_rod
noun:inanim:p:v_naz
noun:inanim:p:v_zna"
",",-,-
посухи,посуха,"noun:inanim:f:v_rod
noun:inanim:p:v_naz
noun:inanim:p:v_zna"
",",-,-
теплові,тепловий,"adj:p:v_kly
adj:p:v_naz
adj:p:v_zna:rinanim"
хвилі,хвиля,"noun:inanim:f:v_dav
noun:inanim:f:v_rod
noun:inanim:p:v_naz
noun:inanim:p:v_zna"
Топляться,топитися,verb:rev:imperf:pres:p:3
льодовики,льодовик,"noun:inanim:p:v_naz
noun:inanim:p:v_zna"
та,та,"conj:coord
part"
підвищується,підвищуватися,verb:rev:imperf:pres:s:3
рівень,рівень,"noun:inanim:m:v_naz
noun:inanim:m:v_zna"
моря,море,"noun:inanim:n:v_rod
noun:inanim:p:v_naz
noun:inanim:p:v_zna"
Зникає,зникати,verb:imperf:pres:s:3
біорізноманіття,біорізноманіття,"noun:inanim:n:v_naz
noun:inanim:n:v_rod
noun:inanim:n:v_zna"
Зникають,зникати,verb:imperf:pres:p:3
коралові,"кораловий


корал","adj:p:v_kly
adj:p:v_naz
adj:p:v_zna:rinanim
noun:anim:m:v_dav
noun:inanim:m:v_dav"
рифи,риф,"noun:inanim:p:v_naz:xp1
noun:inanim:p:v_naz:xp2
noun:inanim:p:v_zna:xp1
noun:inanim:p:v_zna:xp2"
Які,який,"adj:p:v_naz:&pron:int:rel:def
adj:p:v_zna:rinanim:&pron:int:rel:def"
дії,дія,"noun:inanim:f:v_dav
noun:inanim:f:v_rod
noun:inanim:p:v_naz
noun:inanim:p:v_zna"
та,та,"conj:coord
part"
рішення,рішення,"noun:inanim:n:v_naz
noun:inanim:n:v_rod
noun:inanim:n:v_zna
noun:inanim:p:v_naz
noun:inanim:p:v_zna"
Не,не,part
забруднювати,забруднювати,verb:imperf:inf
повітря,повітря,"noun:inanim:n:v_naz
noun:inanim:n:v_rod
noun:inanim:n:v_zna"
",",-,-
Сортувати,сортувати,verb:imperf:inf
і,і,"conj:coord
part"
переробляти,переробляти,verb:imperf:inf
сміття,сміття,"noun:inanim:n:v_naz
noun:inanim:n:v_rod
noun:inanim:n:v_zna
noun:inanim:p:v_naz
noun:inanim:p:v_zna"
Зменшити,зменшити,verb:perf:inf
викиди,викид,"noun:inanim:p:v_naz
noun:inanim:p:v_zna"
газів,газ,noun:inanim:p:v_rod
Менше,менший,"adj:n:v_kly:compc
adj:n:v_naz:compc
adj:n:v_zna:compc"
їздити,їздити,verb:imperf:inf
на,на,prep
машині,машина,"noun:inanim:f:v_dav
noun:inanim:f:v_mis"
Більше,більший,"adj:n:v_kly:compc
adj:n:v_naz:compc
adj:n:v_zna:compc"
їздити,їздити,verb:imperf:inf
на,на,prep
велосипеді,велосипед,noun:inanim:m:v_mis
",",-,-
скейтборді,скейтборд,"noun:inanim:m:v_mis:xp1
noun:inanim:m:v_mis:xp2"
",",-,-
самокаті,самокат,noun:inanim:m:v_mis
та,та,"conj:coord
part"
ходити,ходити,verb:imperf:inf
пішки,пішки,adv
Не,не,part
витрачати,витрачати,verb:imperf:inf
зайвої,зайвий,adj:f:v_rod
води,вода,"noun:inanim:f:v_rod
noun:inanim:p:v_naz
noun:inanim:p:v_zna"
Берегти,берегти,verb:imperf:inf
електроенергію,електроенергія,noun:inanim:f:v_zna
Захищати,захищати,verb:imperf:inf
біорізноманіття,біорізноманіття,"noun:inanim:n:v_naz
noun:inanim:n:v_rod
noun:inanim:n:v_zna"
та,та,"conj:coord
part"
відновлювати,відновлювати,verb:imperf:inf
коралові,"кораловий


корал","adj:p:v_kly
adj:p:v_naz
adj:p:v_zna:rinanim
noun:anim:m:v_dav
noun:inanim:m:v_dav"
рифи,риф,"noun:inanim:p:v_naz:xp1
noun:inanim:p:v_naz:xp2
noun:inanim:p:v_zna:xp1
noun:inanim:p:v_zna:xp2"
Що,що,"conj:subord
noun:inanim:n:v_naz:&pron:int:rel
noun:inanim:n:v_zna:&pron:int:rel"
ще,ще,adv
ми,ми,noun:anim:p:v_naz:&pron:pers:1
можемо,могти,verb:imperf:pres:p:1
робити,робити,verb:imperf:inf
Використовувати,використовувати,verb:imperf:inf
джерела,джерело,"noun:inanim:n:v_rod
noun:inanim:p:v_naz
noun:inanim:p:v_zna"
відновлюваної,відновлюваний,adj:f:v_rod:&adjp:pasv:imperf
енергії,енергія,"noun:inanim:f:v_dav
noun:inanim:f:v_rod
noun:inanim:p:v_naz
noun:inanim:p:v_zna"
Купувати,купувати,verb:imperf:inf
сезонні,сезонний,"adj:p:v_kly
adj:p:v_naz
adj:p:v_zna:rinanim"
овочі,овоч,"noun:inanim:p:v_naz
noun:inanim:p:v_zna"
та,та,"conj:coord
part"
фрукти,фрукт,"noun:inanim:p:v_naz
noun:inanim:p:v_zna"
Обирати,обирати,verb:imperf:inf
електроавтомобілі,електроавтомобіль,"noun:inanim:p:v_naz
noun:inanim:p:v_zna"
Здоровий,здоровий,"adj:m:v_kly:compb
adj:m:v_naz:compb
adj:m:v_zna:rinanim:compb
noun:anim:m:v_kly
noun:anim:m:v_naz"
клімат,клімат,"noun:inanim:m:v_naz
noun:inanim:m:v_zna"
=,-,-
здорова,здоровий,"adj:f:v_kly:compb
adj:f:v_naz:compb
noun:anim:f:v_kly
noun:anim:f:v_naz"
планета,планета,noun:inanim:f:v_naz
Наша,наш,"adj:f:v_kly:&pron:pos
adj:f:v_naz:&pron:pos"
планета,планета,noun:inanim:f:v_naz
–,-,-
наш,наш,"adj:m:v_kly:&pron:pos
adj:m:v_naz:&pron:pos
adj:m:v_zna:rinanim:&pron:pos"
світ,світ,"noun:inanim:m:v_naz
noun:inanim:m:v_zna"
Збереження,збереження,"noun:inanim:n:v_naz
noun:inanim:n:v_rod
noun:inanim:n:v_zna
noun:inanim:p:v_naz
noun:inanim:p:v_zna"
морських,морський,"adj:p:v_rod
adj:p:v_zna:ranim"
екосистем,екосистема,noun:inanim:p:v_rod
Чому,"чому
що","adv:&pron:int:rel
noun:inanim:n:v_dav:&pron:int:rel"
океани,океан,"noun:inanim:p:v_naz
noun:inanim:p:v_zna"
важливі,важливий,"adj:p:v_kly:compb
adj:p:v_naz:compb
adj:p:v_zna:rinanim:compb"
Океани,океан,"noun:inanim:p:v_naz
noun:inanim:p:v_zna"
покривають,покривати,verb:imperf:pres:p:3
70,70,number
%,-,-
планети,планета,"noun:inanim:f:v_rod
noun:inanim:p:v_naz
noun:inanim:p:v_zna"
Океани,океан,"noun:inanim:p:v_naz
noun:inanim:p:v_zna"
–,-,-
основа,основа,noun:inanim:f:v_naz
глобальних,глобальний,"adj:p:v_rod:compb
adj:p:v_zna:ranim:compb"
екосистем,екосистема,noun:inanim:p:v_rod
Біорізноманіття,біорізноманіття,"noun:inanim:n:v_naz
noun:inanim:n:v_rod
noun:inanim:n:v_zna"
океану,океан,"noun:inanim:m:v_dav
noun:inanim:m:v_rod"
–,-,-
це,це,noun:inanim:n:v_naz:&pron:dem
баланс,баланс,"noun:inanim:m:v_naz
noun:inanim:m:v_zna"
екосистем,екосистема,noun:inanim:p:v_rod
Океани,океан,"noun:inanim:p:v_naz
noun:inanim:p:v_zna"
важливі,важливий,"adj:p:v_kly:compb
adj:p:v_naz:compb
adj:p:v_zna:rinanim:compb"
для,для,prep
протидії,протидія,"noun:inanim:f:v_dav
noun:inanim:f:v_rod
noun:inanim:p:v_naz
noun:inanim:p:v_zna"
кліматичній,кліматичний,adj:f:v_dav
кризі,"криза
крига","noun:inanim:f:v_dav
noun:inanim:f:v_dav"
-,-,-
>,-,-
Океани,океан,"noun:inanim:p:v_naz
noun:inanim:p:v_zna"
поглинають,поглинати,verb:imperf:pres:p:3
(,-,-
вуглекислий,вуглекислий,"adj:m:v_kly
adj:m:v_naz
adj:m:v_zna:rinanim"
газ,газ,"noun:inanim:m:v_naz
noun:inanim:m:v_zna"
),-,-
Океани,океан,"noun:inanim:p:v_naz
noun:inanim:p:v_zna"
поглинають,поглинати,verb:imperf:pres:p:3
90,90,number
%,-,-
надмірного,надмірний,"adj:m:v_rod
adj:m:v_zna:ranim
adj:n:v_rod"
тепла,"теплий

тепло","adj:f:v_kly:compb
adj:f:v_naz:compb
noun:inanim:n:v_rod"
Океани,океан,"noun:inanim:p:v_naz
noun:inanim:p:v_zna"
також,також,adv
важливі,важливий,"adj:p:v_kly:compb
adj:p:v_naz:compb
adj:p:v_zna:rinanim:compb"
для,для,prep
світової,світовий,adj:f:v_rod
